rank,korean_spelling,english_spelling_romanization,frequency_band,syllables,token_note,source_url
1,이,i,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
2,는,neun,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
3,을,eul,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
4,하,ha,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
5,에,e,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
6,다,da,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
7,의,ui,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
8,고,go,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
9,은,eun,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
10,가,ga,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
11,를,reul,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
12,있,it,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
13,들,deul,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
14,한,han,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
15,도,do,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
16,어,eo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
17,게,ge,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
18,에서,eseo,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
19,으로,euro,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
20,일,il,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
21,나,na,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
22,로,ro,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
23,지,ji,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
24,했,haet,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
25,었,eot,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
26,해,hae,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
27,아,a,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
28,과,gwa,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
29,되,doe,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
30,기,gi,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
31,것,geot,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
32,그,geu,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
33,수,su,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
34,면,myeon,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
35,와,wa,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
36,적,jeok,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
37,할,hal,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
38,인,in,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
39,만,man,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
40,안,an,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
41,거,geo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
42,보,bo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
43,요,yo,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
44,습니다,seupnida,1-1000,3,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
45,없,eop,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
46,주,ju,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
47,월,wol,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
48,말,mal,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
49,좋,jo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
50,내,nae,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
51,니,ni,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
52,않,an,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
53,시,si,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
54,년,nyeon,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
55,같,gat,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
56,제,je,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
57,입,ip,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
58,더,deo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
59,사람,saram,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
60,자,ja,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
61,지만,jiman,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
62,겠,get,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
63,는데,neunde,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
64,야,ya,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
65,여,yeo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
66,아니,ani,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
67,우리,uri,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
68,던,deon,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
69,에게,ege,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
70,된,doen,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
71,때,ttae,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
72,라고,rago,1-1000,2,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
73,며,myeo,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
74,전,jeon,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
75,네,ne,1-1000,1,High-frequency grammar particle/ending or function form,https://github.com/rspeer/wordfreq
76,라,ra,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
77,한다,handa,1-1000,2,Frequency token/form,https://github.com/rspeer/wordfreq
78,저,jeo,1-1000,1,"Single-syllable high-frequency form; may be a bound form, particle, noun, or stem",https://github.com/rspeer/wordfreq
